,RETAIL_NUM
2,0.0
12,2.0
24,0.0
31,0.0
34,0.0
36,0.0
37,0.0
43,0.0
48,18.0
76,6.0
81,0.0
85,0.0
90,2.0
91,2.0
92,2.0
93,3.0
94,3.0
96,3.0
108,17.0
118,12.0
144,1.0
153,0.0
157,21.0
165,6.0
176,8.666666666666668
178,6.666666666666667
179,6.666666666666667
180,6.666666666666667
181,6.666666666666667
182,6.666666666666667
183,6.0
184,2.0
189,0.0
190,0.0
192,2.0
196,2.0
200,2.0
204,0.0
209,0.0
210,0.0
212,28.0
217,1.0
218,1.0
219,2.0
220,2.0
221,2.0
222,4.0
226,2.0
228,1.0
229,3.0
233,2.0
234,4.0
236,4.0
237,4.0
238,0.0
239,2.0
240,4.0
242,0.0
243,2.0
244,2.0
245,2.0
246,3.0
247,3.0
248,0.0
250,4.0
252,4.0
253,2.0
254,3.0
255,3.0
256,3.0
257,3.0
258,0.0
259,2.0
260,3.0
261,3.0
262,3.0
263,3.0
264,6.0
265,6.0
266,6.0
268,8.0
270,10.0
271,4.0
272,4.0
273,2.0
274,2.0
275,5.0
276,5.0
277,2.0
278,4.0
279,1.0
280,1.0
281,4.0
282,4.0
284,1.3333333333333333
285,1.3333333333333333
286,1.3333333333333333
287,1.3333333333333333
288,1.3333333333333333
289,1.3333333333333333
290,3.0
291,3.0
292,2.0
293,2.0
294,1.0
295,1.0
296,2.0
297,2.0
298,2.0
299,2.0
301,0.0
306,5.666666666666667
315,3.666666666666667
322,1.6666666666666667
323,1.6666666666666667
324,0.0
329,6.0
336,10.0
339,2.666666666666667
341,1.0
342,1.0
343,7.333333333333333
344,10.666666666666666
346,2.0
347,3.3333333333333335
349,3.3333333333333335
350,2.6666666666666665
351,2.6666666666666665
352,2.6666666666666665
353,8.0
355,4.0
356,4.0
357,4.0
358,4.0
359,4.0
360,1.3333333333333333
361,1.3333333333333333
362,1.3333333333333333
363,2.8
364,2.8
365,2.8
367,2.8
368,2.8
370,2.8
371,2.8
372,2.8
373,2.8
374,2.8
375,2.0
376,2.0
377,1.0
378,1.0
379,1.0
380,1.0
381,2.6666666666666665
382,2.6666666666666665
383,2.6666666666666665
385,1.3333333333333333
386,1.3333333333333333
387,1.3333333333333333
388,4.0
389,4.0
390,1.0
391,1.0
392,3.0
393,3.0
394,3.0
395,3.0
396,1.25
397,1.25
398,1.25
399,1.25
400,1.25
401,1.25
402,1.25
403,1.25
405,0.0
406,7.0
407,7.0
408,1.0
409,1.0
410,4.0
411,2.0
412,4.0
413,4.0
414,4.0
415,6.0
416,1.0
417,1.0
418,0.0
419,4.0
420,2.0
422,0.0
427,0.0
428,0.0
433,6.0
438,2.0
439,2.6666666666666665
440,2.6666666666666665
441,2.6666666666666665
442,2.0
443,2.0
444,5.0
445,5.0
446,2.0
447,2.0
449,2.6666666666666665
454,6.666666666666667
456,0.6666666666666666
459,2.0
464,3.6666666666666665
467,2.6666666666666665
471,4.666666666666666
474,2.0
480,13.0
482,2.0
483,1.0
484,1.0
485,4.0
486,2.0
488,2.0
489,0.0
491,3.6
492,3.6
493,3.6
494,3.6
495,3.6
496,0.8571428571428571
497,0.8571428571428571
498,0.8571428571428571
499,0.8571428571428571
500,0.8571428571428571
501,0.8571428571428571
502,0.8571428571428571
503,1.6666666666666667
504,1.6666666666666667
505,1.6666666666666667
506,1.6666666666666667
507,1.6666666666666667
508,1.6666666666666667
510,5.5
512,0.6666666666666666
513,0.6666666666666666
514,0.6666666666666666
515,1.75
516,1.75
517,1.75
518,1.75
519,1.75
520,1.75
521,1.75
522,3.0
524,1.5
525,1.5
528,3.5
529,3.75
534,4.0
537,4.0
541,2.5
542,2.5
544,2.0
545,6.4
546,6.4
547,6.4
548,6.4
549,6.4
550,0.0
551,10.0
552,10.0
553,3.3333333333333335
554,3.3333333333333335
555,3.3333333333333335
556,3.0
558,3.0
559,0.0
561,0.0
563,12.0
564,4.0
565,4.0
566,4.0
567,4.0
568,2.4
569,2.4
570,2.4
571,2.4
572,2.4
574,1.7142857142857142
577,16.0
585,8.0
586,6.0
589,2.0
593,4.0
594,8.0
600,7.0
604,3.0
609,1.7142857142857142
610,1.7142857142857142
611,1.7142857142857142
612,4.214285714285714
614,1.7142857142857142
615,1.7142857142857142
616,2.5
617,2.5
618,2.5
621,0.0
622,0.0
624,3.0
625,3.0
626,3.0
627,3.0
628,2.0
629,1.2
630,1.2
632,1.2
633,1.2
634,1.2
635,6.0
636,1.0
637,1.0
639,2.888888888888889
640,2.888888888888889
641,2.888888888888889
642,2.888888888888889
643,2.888888888888889
644,2.888888888888889
645,2.888888888888889
646,2.888888888888889
647,2.888888888888889
648,2.0
649,1.4545454545454546
650,1.4545454545454546
651,1.4545454545454546
652,1.4545454545454546
653,1.4545454545454546
654,1.4545454545454546
655,1.4545454545454546
656,1.4545454545454546
657,1.4545454545454546
658,1.4545454545454546
659,1.4545454545454546
661,4.5
662,4.5
664,5.833333333333333
665,4.5
666,3.0
667,3.0
668,3.0
669,3.0
670,3.0
671,3.0
672,1.3333333333333333
673,1.3333333333333333
674,1.3333333333333333
675,1.3333333333333333
676,1.3333333333333333
678,3.0
680,3.0
681,0.0
685,7.0
687,9.0
688,9.0
689,7.0
691,4.0
692,8.0
693,8.0
694,2.5
695,2.5
696,2.5
697,6.0
698,6.0
699,2.0
700,2.0
701,1.0
702,1.5
704,1.0
705,0.0
708,0.5
710,0.5
713,4.0
715,0.0
717,2.0
718,2.0
719,0.6666666666666666
720,0.6666666666666666
721,2.0
722,2.0
723,2.0
724,2.0
725,2.0
726,4.0
727,3.0
728,3.0
729,4.0
730,2.0
731,3.3333333333333335
732,3.3333333333333335
733,3.3333333333333335
734,2.6666666666666665
735,2.6666666666666665
737,2.6666666666666665
740,0.6666666666666666
741,4.5
742,4.5
743,4.5
744,6.0
745,6.0
746,4.5
748,0.0
749,0.0
750,0.0
751,4.0
752,4.0
753,1.0
754,1.0
755,2.0
756,2.0
757,2.0
758,2.6666666666666665
759,2.6666666666666665
760,2.6666666666666665
761,3.3333333333333335
762,3.3333333333333335
763,3.3333333333333335
764,8.0
765,0.0
766,0.0
